Disturbance 1: {'Ti': [350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 358.8790902996886, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350]}
Disturbance 2: {'Ti': [350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350.8347827739306, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350]}
Disturbance 3: {'Ti': [350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 364.40727052141557, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350]}
Disturbance 4: {'Ti': [350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 334.01688971470645, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350]}
Disturbance 5: {'Ti': [350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 345.55048394836797, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350]}
Disturbance 6: {'Ti': [350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 343.9410346441713, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350]}
Disturbance 7: {'Ti': [350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 354.7722046706312, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350]}
Disturbance 8: {'Ti': [350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 360.84592600544306, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350]}
Disturbance 9: {'Ti': [350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 352.3778230676958, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350]}
Disturbance 10: {'Ti': [350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 362.9808069478952, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350]}
